date,value
1997-11-24,45.9296
1997-11-25,48.9946
1997-11-26,58.9188
1997-11-28,59.9153
1997-12-01,72.2956
1997-12-02,67.2785
1997-12-03,68.8704
1997-12-04,64.1084
1997-12-05,71.1288
1997-12-08,65.6208
1997-12-09,60.5582
1997-12-10,56.0341
1997-12-11,44.6986
1997-12-12,44.6925
1997-12-15,50.2982
1997-12-16,52.717
1997-12-17,51.1152
1997-12-18,43.7238
1997-12-19,35.9943
1997-12-22,42.1069
1997-12-23,33.6603
1997-12-24,28.9572
1997-12-26,32.5722
1997-12-29,47.0557
1997-12-30,61.9878
1997-12-31,64.6752
1998-01-02,66.4011
1998-01-05,68.5474
1998-01-06,59.2208
1998-01-07,56.4446
1998-01-08,48.7105
1998-01-09,23.6939
1998-01-12,33.8226
1998-01-13,41.3372
1998-01-14,46.0262
1998-01-15,42.1498
1998-01-16,51.572
1998-01-20,63.311
1998-01-21,55.9955
1998-01-22,52.4553
1998-01-23,48.1618
1998-01-26,49.4289
1998-01-27,59.8304
1998-01-28,66.3122
1998-01-29,71.0417
1998-01-30,64.1542
1998-02-02,77.1444
1998-02-03,79.1268
1998-02-04,77.5453
1998-02-05,73.9566
1998-02-06,80.0791
1998-02-09,76.3823
1998-02-10,80.577
1998-02-11,81.3486
1998-02-12,81.4028
1998-02-13,78.541
1998-02-17,76.889
1998-02-18,80.9005
1998-02-19,76.8954
1998-02-20,78.9993
1998-02-23,77.0646
1998-02-24,72.0341
1998-02-25,79.2515
1998-02-26,83.0219
1998-02-27,82.9802
1998-03-02,81.0725
1998-03-03,83.1398
1998-03-04,81.2928
1998-03-05,71.8117
1998-03-06,82.3713
1998-03-09,77.3998
1998-03-10,83.7595
1998-03-11,84.2048
1998-03-12,84.2514
1998-03-13,81.9762
1998-03-16,84.902
1998-03-17,83.9632
1998-03-18,86.9835
1998-03-19,86.7336
1998-03-20,88.638
1998-03-23,86.3214
1998-03-24,88.6178
1998-03-25,84.4438
1998-03-26,83.1532
1998-03-27,80.4986
1998-03-30,76.1412
1998-03-31,79.9653
1998-04-01,81.1145
1998-04-02,86.5402
1998-04-03,84.7007
